name,ip
idk,192.168.20.0/23
BLR_LAN_INTERNAL,172.16.0.0/23
BLR_LAN_SRVNET,172.16.2.0/23
BLR_LAN_IOT,172.16.4.0/23
BOM_LAN_INTERNAL,172.16.6.0/23
BOM_LAN_SRVNET,172.16.8.0/23
BOM_LAN_IOT,172.16.10.0/23
DEL_LAN_INTERNAL,172.16.12.0/23
DEL_LAN_SRVNET,172.16.14.0/23
DEL_LAN_IOT,172.16.16.0/23
CCU_LAN_INTERNAL,172.16.18.0/23
CCU_LAN_SRVNET,172.16.20.0/23
CCU_LAN_IOT,172.16.22.0/23
IXB_LAN_INTERNAL,172.16.24.0/23
IXB_LAN_SRVNET,172.16.26.0/23
IXB_LAN_IOT,172.16.28.0/23
ADI_LAN_INTERNAL,172.16.30.0/23
ADI_LAN_SRVNET,172.16.32.0/23
ADI_LAN_IOT,172.16.34.0/23
HYD_LAN_INTERNAL,172.16.36.0/23
HYD_LAN_SRVNET,172.16.38.0/23
JPG_LAN_SRVNET,172.32.38.0/23
JPG_LAN_S1,172.32.26.0/23
